80889,(#1.66),,7,1980,,,80815,1,66,,4de45f35edf0b753c54ab72dcbe68bb5
5156,Josie Duggar's 1st Shoes,,7,2010,,J2326,5022,4,13,,8d492850166137b550ceb0e9a5b46086
197772,(#2.8),,7,1962,,,197751,2,8,,152b0f7213dd467760823b0d6387a6ec
111913,(2012-09-13),,7,2012,,,111095,,,,daf144630ef1ab1cd5d1d028b406cdcf
117556,(#1.1042),,7,,,,117506,1,1042,,be62adfea75e456d47ddab5c68ac96b0
40704,Anniversary,,7,1971,,A5162,40698,4,9,,5e12ce73fac1d1dcf94136b6e9acd8f8
164312,(#13.60),,7,1997,,,164254,13,60,,2d7b85508041bc8b1e4b576f328727b9
149337,Mellody Hobson,,7,2005,,M4312,149328,1,8,,5bf869eaffa411fdc51e06c2020952d5
32020,Kiss Me Kate,,7,2011,,K2523,32014,1,10,,293e8c75c7f35a4035abf617962be5a9
36858,(2012-09-11),,7,2012,,,36138,,,,7c4d73fbab6bf1bbf3cb3958c5f975a9
