1,1634350,1,4
2,1634391,1,3
3,1634423,1,4
4,1634434,1,3
5,1634450,1,3
6,1634882,1,4
7,1635273,1,3
8,1635294,1,3
9,1634924,1,3
10,1634948,1,3
11,1635171,1,3
12,1634956,1,3
13,1634961,1,3
14,1634968,1,3
15,1634969,1,3
16,1635021,1,3
17,1635034,1,3
18,2852,1,3
19,2853,1,3
20,2854,1,3
21,2855,1,3
22,2857,1,3
23,1635037,1,4
24,1635059,1,3
25,1635078,1,3
26,1635086,1,3
27,1635088,1,3
28,1635102,1,3
29,1635314,1,3
30,1634672,1,4
31,1635320,1,4
32,1634899,1,3
33,3553,1,3
34,1634686,1,3
35,1634692,1,3
36,1634706,1,3
37,1860,1,3
38,1861,1,3
39,1863,1,3
40,1868,1,3
41,1869,1,3
42,1866,1,3
43,1873,1,3
44,1874,1,3
45,1875,1,3
46,1876,1,3
47,1877,1,3
48,1878,1,3
49,1879,1,3
50,1880,1,3
51,1881,1,3
52,1883,1,3
53,1884,1,3
54,1885,1,3
55,1632907,1,3
56,1634814,1,4
57,1634819,1,3
58,1634838,1,4
59,1634844,1,4
60,1635608,1,4
61,1632970,1,3
62,1635611,1,3
63,1635482,1,4
64,1635833,1,4
65,1635837,1,3
66,1547,1,3
67,1635813,1,4
68,1635814,1,4
69,1635816,1,3
70,1635656,1,4
71,1635657,1,4
72,1635664,1,3
73,1635697,1,3
74,1635723,1,3
75,4212,1,3
76,4217,1,3
77,4227,1,3
78,4230,1,3
79,4233,1,3
80,4245,1,3
81,4259,1,3
82,4266,1,3
83,4268,1,3
84,1635736,1,3
85,1635756,1,3
86,1635757,1,3
87,4496,1,3
88,1635895,1,3
89,1635904,1,4
90,1635906,1,3
91,1635921,1,3
92,4651,1,3
93,1635947,1,4
94,1635949,1,3
95,1635951,1,3
96,1636027,1,3
97,1636107,1,3
98,1636111,1,4
99,1636135,1,4
100,1636057,1,3
101,1636068,1,3
102,1636073,1,3
103,1636083,1,4
104,1636090,1,3
105,1636161,1,3
106,1636189,1,3
107,1636192,1,3
108,1636262,1,3
109,1636221,1,3
110,1636224,1,3
111,1636287,1,4
112,1636301,1,3
113,1636419,1,4
114,5212,1,3
115,5213,1,3
116,5214,1,3
117,5215,1,3
118,5216,1,3
119,5217,1,3
120,1636360,1,3
121,1636361,1,3
122,1577,1,3
123,1578,1,3
124,1579,1,3
125,1580,1,3
126,1581,1,3
127,1582,1,3
128,1583,1,3
129,1584,1,3
130,1585,1,3
131,1586,1,3
132,1587,1,3
133,1588,1,3
134,1589,1,3
135,1590,1,3
136,1591,1,3
137,1592,1,3
138,1593,1,3
139,1594,1,3
140,1597,1,3
141,1596,1,3
142,1595,1,3
143,1598,1,3
144,1599,1,3
145,1600,1,3
146,1601,1,3
147,1602,1,3
148,1603,1,3
149,1604,1,3
150,1605,1,3
151,1606,1,3
